選挙区,都道府県,都道府県コード,区番号,第一次産業比率,第二次産業比率,第三次産業比率,所得水準,平均年収（円）,失業率,大卒率,主要産業,経済課題,主要政策関心,生活費指数,高齢化依存率
山梨県2区,山梨県,19,2,0.05,0.28,0.67,中,4200000,0.024,0.35,果樹農業、宝飾加工、観光業,人口減少、交通アクセス、産業多角化,観光振興、農業振興、交通インフラ,96.0,0.33
長野県1区,長野県,20,1,0.06,0.28,0.66,中,4250000,0.023,0.34,精密機械製造、観光業、農業,人口減少、中山間地過疎化、製造業構造転換,産業振興、観光振興、医療・介護,96.0,0.35
長野県2区,長野県,20,2,0.06,0.28,0.66,中,4250000,0.023,0.34,精密機械製造、観光業、農業,人口減少、中山間地過疎化、製造業構造転換,産業振興、観光振興、医療・介護,96.0,0.35
長野県3区,長野県,20,3,0.06,0.28,0.66,中,4250000,0.023,0.34,精密機械製造、観光業、農業,人口減少、中山間地過疎化、製造業構造転換,産業振興、観光振興、医療・介護,96.0,0.35
長野県4区,長野県,20,4,0.06,0.28,0.66,中,4250000,0.023,0.34,精密機械製造、観光業、農業,人口減少、中山間地過疎化、製造業構造転換,産業振興、観光振興、医療・介護,96.0,0.35
長野県5区,長野県,20,5,0.06,0.28,0.66,中,4250000,0.023,0.34,精密機械製造、観光業、農業,人口減少、中山間地過疎化、製造業構造転換,産業振興、観光振興、医療・介護,96.0,0.35
岐阜県1区,岐阜県,21,1,0.02,0.3,0.68,中,4350000,0.023,0.34,自動車部品製造、刃物・陶磁器、航空宇宙,人口減少、製造業の高度化、南北格差,産業振興、防災、観光振興,96.0,0.33
岐阜県2区,岐阜県,21,2,0.02,0.3,0.68,中,4350000,0.023,0.34,自動車部品製造、刃物・陶磁器、航空宇宙,人口減少、製造業の高度化、南北格差,産業振興、防災、観光振興,96.0,0.33
岐阜県3区,岐阜県,21,3,0.02,0.3,0.68,中,4350000,0.023,0.34,自動車部品製造、刃物・陶磁器、航空宇宙,人口減少、製造業の高度化、南北格差,産業振興、防災、観光振興,96.0,0.33
岐阜県4区,岐阜県,21,4,0.02,0.3,0.68,中,4350000,0.023,0.34,自動車部品製造、刃物・陶磁器、航空宇宙,人口減少、製造業の高度化、南北格差,産業振興、防災、観光振興,96.0,0.33
岐阜県5区,岐阜県,21,5,0.02,0.3,0.68,中,4350000,0.023,0.34,自動車部品製造、刃物・陶磁器、航空宇宙,人口減少、製造業の高度化、南北格差,産業振興、防災、観光振興,96.0,0.33
静岡県1区,静岡県,22,1,0.03,0.32,0.65,中,4600000,0.023,0.37,自動車・バイク製造、製紙、茶・農業,製造業の海外移転、人口減少、南海トラフ対策,防災、産業振興、観光振興,98.0,0.32
静岡県2区,静岡県,22,2,0.03,0.32,0.65,中,4600000,0.023,0.37,自動車・バイク製造、製紙、茶・農業,製造業の海外移転、人口減少、南海トラフ対策,防災、産業振興、観光振興,98.0,0.32
静岡県3区,静岡県,22,3,0.03,0.32,0.65,中,4600000,0.023,0.37,自動車・バイク製造、製紙、茶・農業,製造業の海外移転、人口減少、南海トラフ対策,防災、産業振興、観光振興,98.0,0.32
静岡県4区,静岡県,22,4,0.03,0.32,0.65,中,4600000,0.023,0.37,自動車・バイク製造、製紙、茶・農業,製造業の海外移転、人口減少、南海トラフ対策,防災、産業振興、観光振興,98.0,0.32
静岡県5区,静岡県,22,5,0.03,0.32,0.65,中,4600000,0.023,0.37,自動車・バイク製造、製紙、茶・農業,製造業の海外移転、人口減少、南海トラフ対策,防災、産業振興、観光振興,98.0,0.32
静岡県6区,静岡県,22,6,0.03,0.32,0.65,中,4600000,0.023,0.37,自動車・バイク製造、製紙、茶・農業,製造業の海外移転、人口減少、南海トラフ対策,防災、産業振興、観光振興,98.0,0.32
静岡県7区,静岡県,22,7,0.03,0.32,0.65,中,4600000,0.023,0.37,自動車・バイク製造、製紙、茶・農業,製造業の海外移転、人口減少、南海トラフ対策,防災、産業振興、観光振興,98.0,0.32
静岡県8区,静岡県,22,8,0.03,0.32,0.65,中,4600000,0.023,0.37,自動車・バイク製造、製紙、茶・農業,製造業の海外移転、人口減少、南海トラフ対策,防災、産業振興、観光振興,98.0,0.32
愛知県1区,愛知県,23,1,0.01,0.36,0.63,中,5100000,0.022,0.42,自動車製造、航空宇宙、機械製造,自動車産業依存、外国人労働者統合、EV転換対応,産業構造転換、多文化共生、交通インフラ,100.0,0.27
愛知県2区,愛知県,23,2,0.01,0.36,0.63,中,5100000,0.022,0.42,自動車製造、航空宇宙、機械製造,自動車産業依存、外国人労働者統合、EV転換対応,産業構造転換、多文化共生、交通インフラ,100.0,0.27
愛知県3区,愛知県,23,3,0.01,0.36,0.63,中,5100000,0.022,0.42,自動車製造、航空宇宙、機械製造,自動車産業依存、外国人労働者統合、EV転換対応,産業構造転換、多文化共生、交通インフラ,100.0,0.27
愛知県4区,愛知県,23,4,0.01,0.36,0.63,中,5100000,0.022,0.42,自動車製造、航空宇宙、機械製造,自動車産業依存、外国人労働者統合、EV転換対応,産業構造転換、多文化共生、交通インフラ,100.0,0.27
愛知県5区,愛知県,23,5,0.01,0.36,0.63,中,5100000,0.022,0.42,自動車製造、航空宇宙、機械製造,自動車産業依存、外国人労働者統合、EV転換対応,産業構造転換、多文化共生、交通インフラ,100.0,0.27
愛知県6区,愛知県,23,6,0.01,0.36,0.63,中,5100000,0.022,0.42,自動車製造、航空宇宙、機械製造,自動車産業依存、外国人労働者統合、EV転換対応,産業構造転換、多文化共生、交通インフラ,100.0,0.27
愛知県7区,愛知県,23,7,0.01,0.36,0.63,中,5100000,0.022,0.42,自動車製造、航空宇宙、機械製造,自動車産業依存、外国人労働者統合、EV転換対応,産業構造転換、多文化共生、交通インフラ,100.0,0.27
愛知県8区,愛知県,23,8,0.01,0.36,0.63,中,5100000,0.022,0.42,自動車製造、航空宇宙、機械製造,自動車産業依存、外国人労働者統合、EV転換対応,産業構造転換、多文化共生、交通インフラ,100.0,0.27
愛知県9区,愛知県,23,9,0.01,0.36,0.63,中,5100000,0.022,0.42,自動車製造、航空宇宙、機械製造,自動車産業依存、外国人労働者統合、EV転換対応,産業構造転換、多文化共生、交通インフラ,100.0,0.27
愛知県10区,愛知県,23,10,0.01,0.36,0.63,中,5100000,0.022,0.42,自動車製造、航空宇宙、機械製造,自動車産業依存、外国人労働者統合、EV転換対応,産業構造転換、多文化共生、交通インフラ,100.0,0.27
愛知県11区,愛知県,23,11,0.01,0.36,0.63,中,5100000,0.022,0.42,自動車製造、航空宇宙、機械製造,自動車産業依存、外国人労働者統合、EV転換対応,産業構造転換、多文化共生、交通インフラ,100.0,0.27
愛知県12区,愛知県,23,12,0.01,0.36,0.63,中,5100000,0.022,0.42,自動車製造、航空宇宙、機械製造,自動車産業依存、外国人労働者統合、EV転換対応,産業構造転換、多文化共生、交通インフラ,100.0,0.27
愛知県13区,愛知県,23,13,0.01,0.36,0.63,中,5100000,0.022,0.42,自動車製造、航空宇宙、機械製造,自動車産業依存、外国人労働者統合、EV転換対応,産業構造転換、多文化共生、交通インフラ,100.0,0.27
愛知県14区,愛知県,23,14,0.01,0.36,0.63,中,5100000,0.022,0.42,自動車製造、航空宇宙、機械製造,自動車産業依存、外国人労働者統合、EV転換対応,産業構造転換、多文化共生、交通インフラ,100.0,0.27
愛知県15区,愛知県,23,15,0.01,0.36,0.63,中,5100000,0.022,0.42,自動車製造、航空宇宙、機械製造,自動車産業依存、外国人労働者統合、EV転換対応,産業構造転換、多文化共生、交通インフラ,100.0,0.27
三重県1区,三重県,24,1,0.03,0.33,0.64,中,4500000,0.023,0.34,石油化学、電子部品製造、水産業,人口減少、南海トラフ対策、北勢・南勢格差,防災、産業振興、観光振興,96.5,0.32
三重県2区,三重県,24,2,0.03,0.33,0.64,中,4500000,0.023,0.34,石油化学、電子部品製造、水産業,人口減少、南海トラフ対策、北勢・南勢格差,防災、産業振興、観光振興,96.5,0.32
三重県3区,三重県,24,3,0.03,0.33,0.64,中,4500000,0.023,0.34,石油化学、電子部品製造、水産業,人口減少、南海トラフ対策、北勢・南勢格差,防災、産業振興、観光振興,96.5,0.32
三重県4区,三重県,24,4,0.03,0.33,0.64,中,4500000,0.023,0.34,石油化学、電子部品製造、水産業,人口減少、南海トラフ対策、北勢・南勢格差,防災、産業振興、観光振興,96.5,0.32
三重県5区,三重県,24,5,0.03,0.33,0.64,中,4500000,0.023,0.34,石油化学、電子部品製造、水産業,人口減少、南海トラフ対策、北勢・南勢格差,防災、産業振興、観光振興,96.5,0.32
滋賀県1区,滋賀県,25,1,0.02,0.35,0.63,中,4700000,0.024,0.4,製造業、医薬品、環境産業,琵琶湖環境保全、京阪への人口流出、南北格差,環境保全、産業振興、子育て支援,97.5,0.28
滋賀県2区,滋賀県,25,2,0.02,0.35,0.63,中,4700000,0.024,0.4,製造業、医薬品、環境産業,琵琶湖環境保全、京阪への人口流出、南北格差,環境保全、産業振興、子育て支援,97.5,0.28
滋賀県3区,滋賀県,25,3,0.02,0.35,0.63,中,4700000,0.024,0.4,製造業、医薬品、環境産業,琵琶湖環境保全、京阪への人口流出、南北格差,環境保全、産業振興、子育て支援,97.5,0.28
滋賀県4区,滋賀県,25,4,0.02,0.35,0.63,中,4700000,0.024,0.4,製造業、医薬品、環境産業,琵琶湖環境保全、京阪への人口流出、南北格差,環境保全、産業振興、子育て支援,97.5,0.28
京都府1区,京都府,26,1,0.01,0.21,0.78,中,4600000,0.028,0.48,観光業、伝統工芸、電子部品製造,オーバーツーリズム、伝統産業衰退、北部過疎化,観光政策、文化財保護、大学連携,101.0,0.33
京都府2区,京都府,26,2,0.01,0.21,0.78,中,4600000,0.028,0.48,観光業、伝統工芸、電子部品製造,オーバーツーリズム、伝統産業衰退、北部過疎化,観光政策、文化財保護、大学連携,101.0,0.33
京都府3区,京都府,26,3,0.01,0.21,0.78,中,4600000,0.028,0.48,観光業、伝統工芸、電子部品製造,オーバーツーリズム、伝統産業衰退、北部過疎化,観光政策、文化財保護、大学連携,101.0,0.33
京都府4区,京都府,26,4,0.01,0.21,0.78,中,4600000,0.028,0.48,観光業、伝統工芸、電子部品製造,オーバーツーリズム、伝統産業衰退、北部過疎化,観光政策、文化財保護、大学連携,101.0,0.33
京都府5区,京都府,26,5,0.01,0.21,0.78,中,4600000,0.028,0.48,観光業、伝統工芸、電子部品製造,オーバーツーリズム、伝統産業衰退、北部過疎化,観光政策、文化財保護、大学連携,101.0,0.33
京都府6区,京都府,26,6,0.01,0.21,0.78,中,4600000,0.028,0.48,観光業、伝統工芸、電子部品製造,オーバーツーリズム、伝統産業衰退、北部過疎化,観光政策、文化財保護、大学連携,101.0,0.33
大阪府1区,大阪府,27,1,0.0,0.18,0.82,中,4900000,0.032,0.44,商業、中小企業製造業、医薬品,中小企業支援、貧困格差、インバウンド対応,経済活性化、子どもの貧困、万博・IR,102.0,0.3
大阪府2区,大阪府,27,2,0.0,0.18,0.82,中,4900000,0.032,0.44,商業、中小企業製造業、医薬品,中小企業支援、貧困格差、インバウンド対応,経済活性化、子どもの貧困、万博・IR,102.0,0.3
大阪府3区,大阪府,27,3,0.0,0.18,0.82,中,4900000,0.032,0.44,商業、中小企業製造業、医薬品,中小企業支援、貧困格差、インバウンド対応,経済活性化、子どもの貧困、万博・IR,102.0,0.3
大阪府4区,大阪府,27,4,0.0,0.18,0.82,中,4900000,0.032,0.44,商業、中小企業製造業、医薬品,中小企業支援、貧困格差、インバウンド対応,経済活性化、子どもの貧困、万博・IR,102.0,0.3
大阪府5区,大阪府,27,5,0.0,0.18,0.82,中,4900000,0.032,0.44,商業、中小企業製造業、医薬品,中小企業支援、貧困格差、インバウンド対応,経済活性化、子どもの貧困、万博・IR,102.0,0.3
大阪府6区,大阪府,27,6,0.0,0.18,0.82,中,4900000,0.032,0.44,商業、中小企業製造業、医薬品,中小企業支援、貧困格差、インバウンド対応,経済活性化、子どもの貧困、万博・IR,102.0,0.3
大阪府7区,大阪府,27,7,0.0,0.18,0.82,中,4900000,0.032,0.44,商業、中小企業製造業、医薬品,中小企業支援、貧困格差、インバウンド対応,経済活性化、子どもの貧困、万博・IR,102.0,0.3
大阪府8区,大阪府,27,8,0.0,0.18,0.82,中,4900000,0.032,0.44,商業、中小企業製造業、医薬品,中小企業支援、貧困格差、インバウンド対応,経済活性化、子どもの貧困、万博・IR,102.0,0.3
大阪府9区,大阪府,27,9,0.0,0.18,0.82,中,4900000,0.032,0.44,商業、中小企業製造業、医薬品,中小企業支援、貧困格差、インバウンド対応,経済活性化、子どもの貧困、万博・IR,102.0,0.3
大阪府10区,大阪府,27,10,0.0,0.18,0.82,中,4900000,0.032,0.44,商業、中小企業製造業、医薬品,中小企業支援、貧困格差、インバウンド対応,経済活性化、子どもの貧困、万博・IR,102.0,0.3
大阪府11区,大阪府,27,11,0.0,0.18,0.82,中,4900000,0.032,0.44,商業、中小企業製造業、医薬品,中小企業支援、貧困格差、インバウンド対応,経済活性化、子どもの貧困、万博・IR,102.0,0.3
大阪府12区,大阪府,27,12,0.0,0.18,0.82,中,4900000,0.032,0.44,商業、中小企業製造業、医薬品,中小企業支援、貧困格差、インバウンド対応,経済活性化、子どもの貧困、万博・IR,102.0,0.3
大阪府13区,大阪府,27,13,0.0,0.18,0.82,中,4900000,0.032,0.44,商業、中小企業製造業、医薬品,中小企業支援、貧困格差、インバウンド対応,経済活性化、子どもの貧困、万博・IR,102.0,0.3
大阪府14区,大阪府,27,14,0.0,0.18,0.82,中,4900000,0.032,0.44,商業、中小企業製造業、医薬品,中小企業支援、貧困格差、インバウンド対応,経済活性化、子どもの貧困、万博・IR,102.0,0.3
大阪府15区,大阪府,27,15,0.0,0.18,0.82,中,4900000,0.032,0.44,商業、中小企業製造業、医薬品,中小企業支援、貧困格差、インバウンド対応,経済活性化、子どもの貧困、万博・IR,102.0,0.3
大阪府16区,大阪府,27,16,0.0,0.18,0.82,中,4900000,0.032,0.44,商業、中小企業製造業、医薬品,中小企業支援、貧困格差、インバウンド対応,経済活性化、子どもの貧困、万博・IR,102.0,0.3
大阪府17区,大阪府,27,17,0.0,0.18,0.82,中,4900000,0.032,0.44,商業、中小企業製造業、医薬品,中小企業支援、貧困格差、インバウンド対応,経済活性化、子どもの貧困、万博・IR,102.0,0.3
大阪府18区,大阪府,27,18,0.0,0.18,0.82,中,4900000,0.032,0.44,商業、中小企業製造業、医薬品,中小企業支援、貧困格差、インバウンド対応,経済活性化、子どもの貧困、万博・IR,102.0,0.3
大阪府19区,大阪府,27,19,0.0,0.18,0.82,中,4900000,0.032,0.44,商業、中小企業製造業、医薬品,中小企業支援、貧困格差、インバウンド対応,経済活性化、子どもの貧困、万博・IR,102.0,0.3
兵庫県1区,兵庫県,28,1,0.01,0.25,0.74,中,4700000,0.028,0.42,鉄鋼、造船、商業,阪神・淡路の教訓継承、人口減少、神戸経済低迷,防災、産業振興、地域間格差,100.0,0.31
兵庫県2区,兵庫県,28,2,0.01,0.25,0.74,中,4700000,0.028,0.42,鉄鋼、造船、商業,阪神・淡路の教訓継承、人口減少、神戸経済低迷,防災、産業振興、地域間格差,100.0,0.31
兵庫県3区,兵庫県,28,3,0.01,0.25,0.74,中,4700000,0.028,0.42,鉄鋼、造船、商業,阪神・淡路の教訓継承、人口減少、神戸経済低迷,防災、産業振興、地域間格差,100.0,0.31
兵庫県4区,兵庫県,28,4,0.01,0.25,0.74,中,4700000,0.028,0.42,鉄鋼、造船、商業,阪神・淡路の教訓継承、人口減少、神戸経済低迷,防災、産業振興、地域間格差,100.0,0.31
兵庫県5区,兵庫県,28,5,0.01,0.25,0.74,中,4700000,0.028,0.42,鉄鋼、造船、商業,阪神・淡路の教訓継承、人口減少、神戸経済低迷,防災、産業振興、地域間格差,100.0,0.31
兵庫県6区,兵庫県,28,6,0.01,0.25,0.74,中,4700000,0.028,0.42,鉄鋼、造船、商業,阪神・淡路の教訓継承、人口減少、神戸経済低迷,防災、産業振興、地域間格差,100.0,0.31
兵庫県7区,兵庫県,28,7,0.01,0.25,0.74,中,4700000,0.028,0.42,鉄鋼、造船、商業,阪神・淡路の教訓継承、人口減少、神戸経済低迷,防災、産業振興、地域間格差,100.0,0.31
兵庫県8区,兵庫県,28,8,0.01,0.25,0.74,中,4700000,0.028,0.42,鉄鋼、造船、商業,阪神・淡路の教訓継承、人口減少、神戸経済低迷,防災、産業振興、地域間格差,100.0,0.31
兵庫県9区,兵庫県,28,9,0.01,0.25,0.74,中,4700000,0.028,0.42,鉄鋼、造船、商業,阪神・淡路の教訓継承、人口減少、神戸経済低迷,防災、産業振興、地域間格差,100.0,0.31
兵庫県10区,兵庫県,28,10,0.01,0.25,0.74,中,4700000,0.028,0.42,鉄鋼、造船、商業,阪神・淡路の教訓継承、人口減少、神戸経済低迷,防災、産業振興、地域間格差,100.0,0.31
兵庫県11区,兵庫県,28,11,0.01,0.25,0.74,中,4700000,0.028,0.42,鉄鋼、造船、商業,阪神・淡路の教訓継承、人口減少、神戸経済低迷,防災、産業振興、地域間格差,100.0,0.31
兵庫県12区,兵庫県,28,12,0.01,0.25,0.74,中,4700000,0.028,0.42,鉄鋼、造船、商業,阪神・淡路の教訓継承、人口減少、神戸経済低迷,防災、産業振興、地域間格差,100.0,0.31
奈良県1区,奈良県,29,1,0.02,0.2,0.78,中,4250000,0.029,0.4,観光業、繊維・靴下製造、商業,大阪への通勤依存、南部過疎化、産業空洞化,観光振興、文化財保護、交通インフラ,97.0,0.34
奈良県2区,奈良県,29,2,0.02,0.2,0.78,中,4250000,0.029,0.4,観光業、繊維・靴下製造、商業,大阪への通勤依存、南部過疎化、産業空洞化,観光振興、文化財保護、交通インフラ,97.0,0.34
奈良県3区,奈良県,29,3,0.02,0.2,0.78,中,4250000,0.029,0.4,観光業、繊維・靴下製造、商業,大阪への通勤依存、南部過疎化、産業空洞化,観光振興、文化財保護、交通インフラ,97.0,0.34
奈良県4区,奈良県,29,4,0.02,0.2,0.78,中,4250000,0.029,0.4,観光業、繊維・靴下製造、商業,大阪への通勤依存、南部過疎化、産業空洞化,観光振興、文化財保護、交通インフラ,97.0,0.34
和歌山県1区,和歌山県,30,1,0.06,0.24,0.7,低,3900000,0.028,0.3,果樹農業、石油化学、観光業,人口減少、過疎化、南海トラフ対策,防災、農業振興、観光振興,94.0,0.37
和歌山県2区,和歌山県,30,2,0.06,0.24,0.7,低,3900000,0.028,0.3,果樹農業、石油化学、観光業,人口減少、過疎化、南海トラフ対策,防災、農業振興、観光振興,94.0,0.37
和歌山県3区,和歌山県,30,3,0.06,0.24,0.7,低,3900000,0.028,0.3,果樹農業、石油化学、観光業,人口減少、過疎化、南海トラフ対策,防災、農業振興、観光振興,94.0,0.37
鳥取県1区,鳥取県,31,1,0.06,0.22,0.72,低,3750000,0.024,0.3,農業、水産業、電子部品製造,人口最少県、若者流出、産業基盤弱体,人口減少対策、地方創生、農業振興,93.0,0.37
鳥取県2区,鳥取県,31,2,0.06,0.22,0.72,低,3750000,0.024,0.3,農業、水産業、電子部品製造,人口最少県、若者流出、産業基盤弱体,人口減少対策、地方創生、農業振興,93.0,0.37
島根県1区,島根県,32,1,0.05,0.22,0.73,低,3700000,0.023,0.28,製造業、農業、観光業,人口減少、過疎化、交通アクセス,地方創生、医療・介護、観光振興,93.0,0.39
島根県2区,島根県,32,2,0.05,0.22,0.73,低,3700000,0.023,0.28,製造業、農業、観光業,人口減少、過疎化、交通アクセス,地方創生、医療・介護、観光振興,93.0,0.39
岡山県1区,岡山県,33,1,0.02,0.27,0.71,中,4300000,0.025,0.37,石油化学、自動車部品、農業,豪雨災害復興、人口減少、北部過疎化,防災、産業振興、子育て支援,96.5,0.33
岡山県2区,岡山県,33,2,0.02,0.27,0.71,中,4300000,0.025,0.37,石油化学、自動車部品、農業,豪雨災害復興、人口減少、北部過疎化,防災、産業振興、子育て支援,96.5,0.33
岡山県3区,岡山県,33,3,0.02,0.27,0.71,中,4300000,0.025,0.37,石油化学、自動車部品、農業,豪雨災害復興、人口減少、北部過疎化,防災、産業振興、子育て支援,96.5,0.33
岡山県4区,岡山県,33,4,0.02,0.27,0.71,中,4300000,0.025,0.37,石油化学、自動車部品、農業,豪雨災害復興、人口減少、北部過疎化,防災、産業振興、子育て支援,96.5,0.33
岡山県5区,岡山県,33,5,0.02,0.27,0.71,中,4300000,0.025,0.37,石油化学、自動車部品、農業,豪雨災害復興、人口減少、北部過疎化,防災、産業振興、子育て支援,96.5,0.33
広島県1区,広島県,34,1,0.01,0.26,0.73,中,4500000,0.026,0.39,自動車製造、造船、鉄鋼,製造業構造転換、土砂災害リスク、人口減少,産業振興、防災、平和政策,97.5,0.32
広島県2区,広島県,34,2,0.01,0.26,0.73,中,4500000,0.026,0.39,自動車製造、造船、鉄鋼,製造業構造転換、土砂災害リスク、人口減少,産業振興、防災、平和政策,97.5,0.32
広島県3区,広島県,34,3,0.01,0.26,0.73,中,4500000,0.026,0.39,自動車製造、造船、鉄鋼,製造業構造転換、土砂災害リスク、人口減少,産業振興、防災、平和政策,97.5,0.32
広島県4区,広島県,34,4,0.01,0.26,0.73,中,4500000,0.026,0.39,自動車製造、造船、鉄鋼,製造業構造転換、土砂災害リスク、人口減少,産業振興、防災、平和政策,97.5,0.32
広島県5区,広島県,34,5,0.01,0.26,0.73,中,4500000,0.026,0.39,自動車製造、造船、鉄鋼,製造業構造転換、土砂災害リスク、人口減少,産業振興、防災、平和政策,97.5,0.32
広島県6区,広島県,34,6,0.01,0.26,0.73,中,4500000,0.026,0.39,自動車製造、造船、鉄鋼,製造業構造転換、土砂災害リスク、人口減少,産業振興、防災、平和政策,97.5,0.32
広島県7区,広島県,34,7,0.01,0.26,0.73,中,4500000,0.026,0.39,自動車製造、造船、鉄鋼,製造業構造転換、土砂災害リスク、人口減少,産業振興、防災、平和政策,97.5,0.32
山口県1区,山口県,35,1,0.03,0.28,0.69,中,4200000,0.026,0.33,石油化学、セメント、水産業,人口減少、重化学工業依存、若者流出,産業振興、地方創生、医療・介護,95.0,0.38
山口県2区,山口県,35,2,0.03,0.28,0.69,中,4200000,0.026,0.33,石油化学、セメント、水産業,人口減少、重化学工業依存、若者流出,産業振興、地方創生、医療・介護,95.0,0.38
山口県3区,山口県,35,3,0.03,0.28,0.69,中,4200000,0.026,0.33,石油化学、セメント、水産業,人口減少、重化学工業依存、若者流出,産業振興、地方創生、医療・介護,95.0,0.38
山口県4区,山口県,35,4,0.03,0.28,0.69,中,4200000,0.026,0.33,石油化学、セメント、水産業,人口減少、重化学工業依存、若者流出,産業振興、地方創生、医療・介護,95.0,0.38
徳島県1区,徳島県,36,1,0.05,0.24,0.71,低,3900000,0.026,0.32,医薬品製造、LED製造、農業,人口減少、南海トラフ対策、過疎化,防災、地方創生、IT・デジタル化,93.5,0.37
徳島県2区,徳島県,36,2,0.05,0.24,0.71,低,3900000,0.026,0.32,医薬品製造、LED製造、農業,人口減少、南海トラフ対策、過疎化,防災、地方創生、IT・デジタル化,93.5,0.37
香川県1区,香川県,37,1,0.02,0.24,0.74,中,4150000,0.025,0.34,食品加工、造船、観光業,水不足、人口減少、島嶼部過疎化,水資源管理、観光振興、産業振興,95.0,0.35
香川県2区,香川県,37,2,0.02,0.24,0.74,中,4150000,0.025,0.34,食品加工、造船、観光業,水不足、人口減少、島嶼部過疎化,水資源管理、観光振興、産業振興,95.0,0.35
香川県3区,香川県,37,3,0.02,0.24,0.74,中,4150000,0.025,0.34,食品加工、造船、観光業,水不足、人口減少、島嶼部過疎化,水資源管理、観光振興、産業振興,95.0,0.35
愛媛県1区,愛媛県,38,1,0.04,0.24,0.72,低,3950000,0.026,0.32,柑橘農業、造船、製紙,人口減少、過疎化、産業構造転換,農業振興、産業振興、防災,94.0,0.36
愛媛県2区,愛媛県,38,2,0.04,0.24,0.72,低,3950000,0.026,0.32,柑橘農業、造船、製紙,人口減少、過疎化、産業構造転換,農業振興、産業振興、防災,94.0,0.36
愛媛県3区,愛媛県,38,3,0.04,0.24,0.72,低,3950000,0.026,0.32,柑橘農業、造船、製紙,人口減少、過疎化、産業構造転換,農業振興、産業振興、防災,94.0,0.36
愛媛県4区,愛媛県,38,4,0.04,0.24,0.72,低,3950000,0.026,0.32,柑橘農業、造船、製紙,人口減少、過疎化、産業構造転換,農業振興、産業振興、防災,94.0,0.36
高知県1区,高知県,39,1,0.07,0.17,0.76,低,3550000,0.028,0.28,施設園芸農業、水産業、林業,高齢化（全国上位）、人口減少、南海トラフ対策,防災、医療・介護、地方創生,92.5,0.4
高知県2区,高知県,39,2,0.07,0.17,0.76,低,3550000,0.028,0.28,施設園芸農業、水産業、林業,高齢化（全国上位）、人口減少、南海トラフ対策,防災、医療・介護、地方創生,92.5,0.4
福岡県1区,福岡県,40,1,0.01,0.18,0.81,中,4550000,0.03,0.41,自動車製造、IT・スタートアップ、商業,福岡市一極集中、筑豊・大牟田の衰退、格差拡大,経済活性化、スタートアップ支援、子育て支援,98.0,0.3
福岡県2区,福岡県,40,2,0.01,0.18,0.81,中,4550000,0.03,0.41,自動車製造、IT・スタートアップ、商業,福岡市一極集中、筑豊・大牟田の衰退、格差拡大,経済活性化、スタートアップ支援、子育て支援,98.0,0.3
福岡県3区,福岡県,40,3,0.01,0.18,0.81,中,4550000,0.03,0.41,自動車製造、IT・スタートアップ、商業,福岡市一極集中、筑豊・大牟田の衰退、格差拡大,経済活性化、スタートアップ支援、子育て支援,98.0,0.3
福岡県4区,福岡県,40,4,0.01,0.18,0.81,中,4550000,0.03,0.41,自動車製造、IT・スタートアップ、商業,福岡市一極集中、筑豊・大牟田の衰退、格差拡大,経済活性化、スタートアップ支援、子育て支援,98.0,0.3
福岡県5区,福岡県,40,5,0.01,0.18,0.81,中,4550000,0.03,0.41,自動車製造、IT・スタートアップ、商業,福岡市一極集中、筑豊・大牟田の衰退、格差拡大,経済活性化、スタートアップ支援、子育て支援,98.0,0.3
福岡県6区,福岡県,40,6,0.01,0.18,0.81,中,4550000,0.03,0.41,自動車製造、IT・スタートアップ、商業,福岡市一極集中、筑豊・大牟田の衰退、格差拡大,経済活性化、スタートアップ支援、子育て支援,98.0,0.3
福岡県7区,福岡県,40,7,0.01,0.18,0.81,中,4550000,0.03,0.41,自動車製造、IT・スタートアップ、商業,福岡市一極集中、筑豊・大牟田の衰退、格差拡大,経済活性化、スタートアップ支援、子育て支援,98.0,0.3
福岡県8区,福岡県,40,8,0.01,0.18,0.81,中,4550000,0.03,0.41,自動車製造、IT・スタートアップ、商業,福岡市一極集中、筑豊・大牟田の衰退、格差拡大,経済活性化、スタートアップ支援、子育て支援,98.0,0.3
福岡県9区,福岡県,40,9,0.01,0.18,0.81,中,4550000,0.03,0.41,自動車製造、IT・スタートアップ、商業,福岡市一極集中、筑豊・大牟田の衰退、格差拡大,経済活性化、スタートアップ支援、子育て支援,98.0,0.3
福岡県10区,福岡県,40,10,0.01,0.18,0.81,中,4550000,0.03,0.41,自動車製造、IT・スタートアップ、商業,福岡市一極集中、筑豊・大牟田の衰退、格差拡大,経済活性化、スタートアップ支援、子育て支援,98.0,0.3
福岡県11区,福岡県,40,11,0.01,0.18,0.81,中,4550000,0.03,0.41,自動車製造、IT・スタートアップ、商業,福岡市一極集中、筑豊・大牟田の衰退、格差拡大,経済活性化、スタートアップ支援、子育て支援,98.0,0.3
佐賀県1区,佐賀県,41,1,0.05,0.26,0.69,低,3800000,0.025,0.3,農業、陶磁器製造、食品加工,人口減少、若者流出、有明海環境問題,農業振興、環境保全、子育て支援,93.0,0.33
佐賀県2区,佐賀県,41,2,0.05,0.26,0.69,低,3800000,0.025,0.3,農業、陶磁器製造、食品加工,人口減少、若者流出、有明海環境問題,農業振興、環境保全、子育て支援,93.0,0.33
