選挙区,都道府県,都道府県コード,区番号,対象地域,候補者数,出馬政党,総人口,有権者数,年齢_18〜29歳,年齢_30〜39歳,年齢_40〜49歳,年齢_50〜59歳,年齢_60〜69歳,年齢_70歳以上,男性比率,女性比率,世帯_単身,世帯_夫婦のみ,世帯_核家族,世帯_三世代,世帯_その他,都市化分類,都市化率,第一次産業比率,第二次産業比率,第三次産業比率,所得水準,平均年収（円）,失業率,大卒率,主要産業,経済課題,生活費指数,高齢化依存率,投票率_2021,投票率_2017,投票率_平均,支持率_自民党,支持率_立憲民主党,支持率_維新,支持率_国民民主党,支持率_共産党,支持率_れいわ,支持率_参政党,支持率_その他,イデオロギー_保守,イデオロギー_中道,イデオロギー_革新,政治関心_高,政治関心_中,政治関心_低,浮動票率,主要課題1,主要課題2,主要課題3,課題優先度_経済,課題優先度_社会保障,課題優先度_安全保障,課題優先度_教育,課題優先度_環境,課題優先度_地方創生,課題優先度_憲法改正,課題優先度_防災,ペルソナ_都市部若年勤労者,ペルソナ_郊外子育て世帯,ペルソナ_中高年会社員,ペルソナ_中高年女性労働者,ペルソナ_農村部農業従事者,ペルソナ_高齢年金受給者,ペルソナ_自営業者,ペルソナ_公務員,ペルソナ_大学生,ペルソナ_専業主婦主夫,ペルソナ_非正規雇用,ペルソナ_労働組合員
千葉県6区,千葉県,12,6,松戸市の一部,4,無所属、共産党、自民党、参政党,6284480,5300000,0.12,0.12,0.16,0.14,0.15,0.31,0.49,0.51,0.34,0.22,0.31,0.05,0.08,大都市,0.87,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,99.5,0.3,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,災害対策・インフラ強靭化,成田空港・物流拠点,子育て・教育,0.23,0.22,0.05,0.13,0.05,0.13,0.04,0.15,0.12,0.16,0.14,0.09,0.03,0.17,0.06,0.05,0.03,0.08,0.04,0.03
千葉県7区,千葉県,12,7,松戸市の一部、流山市,5,中道改革連合、国民民主党、共産党、自民党、参政党,6284480,5300000,0.12,0.12,0.16,0.14,0.15,0.31,0.49,0.51,0.34,0.22,0.31,0.05,0.08,大都市,0.87,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,99.5,0.3,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,災害対策・インフラ強靭化,成田空港・物流拠点,子育て・教育,0.23,0.22,0.05,0.13,0.05,0.13,0.04,0.15,0.12,0.16,0.14,0.09,0.03,0.17,0.06,0.05,0.03,0.08,0.04,0.03
千葉県8区,千葉県,12,8,柏市,4,中道改革連合、国民民主党、自民党、参政党,6284480,5300000,0.12,0.12,0.16,0.14,0.15,0.31,0.49,0.51,0.34,0.22,0.31,0.05,0.08,大都市,0.87,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,99.5,0.3,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,災害対策・インフラ強靭化,成田空港・物流拠点,子育て・教育,0.23,0.22,0.05,0.13,0.05,0.13,0.04,0.15,0.12,0.16,0.14,0.09,0.03,0.17,0.06,0.05,0.03,0.08,0.04,0.03
千葉県9区,千葉県,12,9,佐倉市、四街道市、八街市,3,中道改革連合、自民党、参政党,6284480,5300000,0.12,0.12,0.16,0.14,0.15,0.31,0.49,0.51,0.34,0.22,0.31,0.05,0.08,大都市,0.87,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,99.5,0.3,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,災害対策・インフラ強靭化,成田空港・物流拠点,子育て・教育,0.23,0.22,0.05,0.13,0.05,0.13,0.04,0.15,0.12,0.16,0.14,0.09,0.03,0.17,0.06,0.05,0.03,0.08,0.04,0.03
千葉県10区,千葉県,12,10,銚子市、香取市、旭市,5,中道改革連合、国民民主党、共産党、自民党、参政党,6284480,5300000,0.12,0.12,0.16,0.14,0.15,0.31,0.49,0.51,0.34,0.22,0.31,0.05,0.08,大都市,0.87,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,99.5,0.3,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,災害対策・インフラ強靭化,成田空港・物流拠点,子育て・教育,0.23,0.22,0.05,0.13,0.05,0.13,0.04,0.15,0.12,0.16,0.14,0.09,0.03,0.17,0.06,0.05,0.03,0.08,0.04,0.03
千葉県11区,千葉県,12,11,茂原市、勝浦市、長生郡,6,中道改革連合、国民民主党、日本維新の会、共産党、自民党、参政党,6284480,5300000,0.12,0.12,0.16,0.14,0.15,0.31,0.49,0.51,0.34,0.22,0.31,0.05,0.08,大都市,0.87,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,99.5,0.3,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,災害対策・インフラ強靭化,成田空港・物流拠点,子育て・教育,0.23,0.22,0.05,0.13,0.05,0.13,0.04,0.15,0.12,0.16,0.14,0.09,0.03,0.17,0.06,0.05,0.03,0.08,0.04,0.03
千葉県12区,千葉県,12,12,木更津市、君津市、富津市,5,中道改革連合、国民民主党、共産党、自民党、参政党,6284480,5300000,0.12,0.12,0.16,0.14,0.15,0.31,0.49,0.51,0.34,0.22,0.31,0.05,0.08,大都市,0.87,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,99.5,0.3,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,災害対策・インフラ強靭化,成田空港・物流拠点,子育て・教育,0.23,0.22,0.05,0.13,0.05,0.13,0.04,0.15,0.12,0.16,0.14,0.09,0.03,0.17,0.06,0.05,0.03,0.08,0.04,0.03
千葉県13区,千葉県,12,13,成田市、印西市、白井市,3,自民党、みらい、参政党,6284480,5300000,0.12,0.12,0.16,0.14,0.15,0.31,0.49,0.51,0.34,0.22,0.31,0.05,0.08,大都市,0.87,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,99.5,0.3,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,災害対策・インフラ強靭化,成田空港・物流拠点,子育て・教育,0.23,0.22,0.05,0.13,0.05,0.13,0.04,0.15,0.12,0.16,0.14,0.09,0.03,0.17,0.06,0.05,0.03,0.08,0.04,0.03
東京都1区,東京都,13,1,千代田区、港区、新宿区の一部,3,共産党、自民党、参政党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都2区,東京都,13,2,中央区、文京区、台東区の一部,4,中道改革連合、日本維新の会、共産党、自民党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都3区,東京都,13,3,品川区、大田区の一部,3,日本維新の会、共産党、自民党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都4区,東京都,13,4,大田区の一部、目黒区の一部,4,共産党、自民党、参政党、諸派,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都5区,東京都,13,5,世田谷区の一部,4,国民民主党、日本維新の会、共産党、自民党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都6区,東京都,13,6,世田谷区の一部、渋谷区の一部,4,中道改革連合、共産党、自民党、参政党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都7区,東京都,13,7,渋谷区の一部、中野区,4,中道改革連合、共産党、自民党、参政党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都8区,東京都,13,8,杉並区,4,中道改革連合、日本保守党、共産党、自民党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都9区,東京都,13,9,練馬区の一部,4,中道改革連合、共産党、自民党、参政党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都10区,東京都,13,10,豊島区、新宿区の一部,4,無所属、共産党、自民党、参政党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都11区,東京都,13,11,板橋区,1,自民党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都12区,東京都,13,12,北区、足立区の一部,4,中道改革連合、日本維新の会、共産党、自民党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都13区,東京都,13,13,足立区の一部,4,中道改革連合、共産党、自民党、参政党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都14区,東京都,13,14,墨田区、荒川区,3,国民民主党、共産党、自民党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都15区,東京都,13,15,江東区、江戸川区の一部,5,中道改革連合、国民民主党、日本維新の会、自民党、参政党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都16区,東京都,13,16,江戸川区の一部,4,減税日本、日本保守党、共産党、自民党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都17区,東京都,13,17,葛飾区,4,中道改革連合、共産党、自民党、参政党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都18区,東京都,13,18,武蔵野市、三鷹市、小金井市,4,中道改革連合、日本維新の会、自民党、参政党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都19区,東京都,13,19,西東京市、東久留米市、清瀬市,3,中道改革連合、日本維新の会、自民党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都20区,東京都,13,20,東村山市、東大和市、武蔵村山市,5,中道改革連合、国民民主党、日本維新の会、自民党、参政党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都21区,東京都,13,21,立川市、昭島市、国立市,3,中道改革連合、自民党、参政党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都22区,東京都,13,22,日野市、多摩市、稲城市,4,中道改革連合、共産党、自民党、参政党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都23区,東京都,13,23,町田市,5,中道改革連合、国民民主党、共産党、自民党、参政党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都24区,東京都,13,24,八王子市の一部,5,中道改革連合、日本維新の会、共産党、自民党、社民党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
東京都25区,東京都,13,25,八王子市の一部、青梅市,3,中道改革連合、無所属、自民党,14047594,11550000,0.15,0.15,0.16,0.14,0.13,0.27,0.49,0.51,0.47,0.2,0.24,0.02,0.07,大都市,0.98,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,107.0,0.26,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,住宅・生活コスト,子育て支援・少子化対策,都市インフラ・防災,0.28,0.25,0.07,0.15,0.05,0.05,0.07,0.08,0.15,0.1,0.14,0.1,0.01,0.14,0.09,0.05,0.06,0.06,0.06,0.04
神奈川県1区,神奈川県,14,1,横浜市中区、磯子区、金沢区,4,日本維新の会、共産党、自民党、参政党,9237337,7700000,0.13,0.14,0.16,0.14,0.14,0.29,0.49,0.51,0.37,0.22,0.3,0.03,0.08,大都市,0.95,0.0,0.18,0.82,高,5400000,0.027,0.5,製造業、情報通信、商業,人口集中、高齢化の加速、基地問題,104.0,0.28,0.552,0.53,0.541,0.3,0.18,0.11,0.08,0.07,0.06,0.03,0.17,0.34,0.4,0.26,0.27,0.44,0.29,0.38,子育て・教育,都市インフラ・交通,医療・高齢者福祉,0.25,0.25,0.07,0.15,0.05,0.08,0.05,0.1,0.13,0.15,0.14,0.09,0.02,0.16,0.07,0.05,0.04,0.07,0.05,0.03
神奈川県2区,神奈川県,14,2,横浜市西区、南区、港南区,4,中道改革連合、共産党、自民党、参政党,9237337,7700000,0.13,0.14,0.16,0.14,0.14,0.29,0.49,0.51,0.37,0.22,0.3,0.03,0.08,大都市,0.95,0.0,0.18,0.82,高,5400000,0.027,0.5,製造業、情報通信、商業,人口集中、高齢化の加速、基地問題,104.0,0.28,0.552,0.53,0.541,0.3,0.18,0.11,0.08,0.07,0.06,0.03,0.17,0.34,0.4,0.26,0.27,0.44,0.29,0.38,子育て・教育,都市インフラ・交通,医療・高齢者福祉,0.25,0.25,0.07,0.15,0.05,0.08,0.05,0.1,0.13,0.15,0.14,0.09,0.02,0.16,0.07,0.05,0.04,0.07,0.05,0.03
神奈川県3区,神奈川県,14,3,横浜市鶴見区、神奈川区,3,中道改革連合、自民党、参政党,9237337,7700000,0.13,0.14,0.16,0.14,0.14,0.29,0.49,0.51,0.37,0.22,0.3,0.03,0.08,大都市,0.95,0.0,0.18,0.82,高,5400000,0.027,0.5,製造業、情報通信、商業,人口集中、高齢化の加速、基地問題,104.0,0.28,0.552,0.53,0.541,0.3,0.18,0.11,0.08,0.07,0.06,0.03,0.17,0.34,0.4,0.26,0.27,0.44,0.29,0.38,子育て・教育,都市インフラ・交通,医療・高齢者福祉,0.25,0.25,0.07,0.15,0.05,0.08,0.05,0.1,0.13,0.15,0.14,0.09,0.02,0.16,0.07,0.05,0.04,0.07,0.05,0.03
